id,nom,prenom,email,telephone,age,ville,experience_annees,poste_actuel,entreprise_actuelle,education_niveau,diplome,universite,annee_diplome,competences_techniques,competences_langues,langues_niveau,experience_detail,projets,certifications,disponibilite,pretention_salaire
1854,Mekki,Ibrahim,ibrahim.mekki1854@email.ma,0656900418,21,Marrakech,0,,,Bac+2,"Ingénieur d'état","UM5 Rabat",2021,"Node.js, Tableau, React, CI/CD, MySQL","Arabe, Anglais","Courant, Intermédiaire",,,AWS,"1 mois",4233
1855,Zahir,Rania,rania.zahir1855@email.ma,0614954675,24,Berrechid,0,,,Bac+5,"Ingénieur d'état","FST Fes",2021,"Azure, Power BI, REST API, PostgreSQL, PHP, React, Agile","Français, Arabe, Anglais","Bilingue, Intermédiaire, Courant",,,PMP,"2 mois",22632
1856,Alaoui,Aicha,aicha.alaoui1856@email.ma,0659832057,50,Agadir,3,"Consultant SAP",Lydec,Bac+3,"Master Réseaux","Al Akhawayn",2015,"Angular, Vue.js, React, Linux, Laravel","Anglais, Français","Natif, Courant","Expérience chez Inwi pendant 3 an(s).","Projet Tableau.",,"3 mois",5314
1857,Moussaoui,Fatima,fatima.moussaoui1857@email.ma,0622586508,45,Inezgane,2,"Analyste BI",REDAL,Bac+3,"Master Data","Université Hassan II",2016,"Java, MySQL, Kubernetes, Tableau, Python","Anglais, Arabe","Bilingue, Intermédiaire","Expérience chez Orange Maroc pendant 2 an(s).",,Azure,"2 mois",13875
1858,Rami,Asmae,asmae.rami1858@email.ma,0658334693,29,Fes,6,"Analyste BI","Orange Maroc",Bac+2,"Licence informatique","Al Akhawayn",2019,"Python, Azure, Docker, Symfony, Linux, JavaScript","Anglais, Français","Natif, Courant","Expérience chez Société nationale pendant 6 an(s).","Projet PostgreSQL.",Scrum,Immédiate,10095
1859,Lamrani,Asmae,asmae.lamrani1859@email.ma,0611078788,32,Casablanca,0,,,Bac+5,"Master Big Data",ENSI,2015,"Node.js, CI/CD, Kubernetes","Français, Arabe, Anglais","Intermédiaire, Natif, Bilingue",,"Projet Agile.",,"1 mois",6376
1860,Berrada,Younes,younes.berrada1860@email.ma,0616534270,40,Inezgane,9,"Ingénieur DevOps","Maroc Telecom",Bac+5,"Master SI",ENSI,2013,"Tableau, Laravel, PostgreSQL, React, CI/CD, Node.js, Machine Learning, MySQL, Git, Angular","Arabe, Anglais","Courant, Bilingue","Expérience chez BMCE pendant 9 an(s).","Projet AWS.",,"1 mois",19643
1861,Bouhout,Zakaria,zakaria.bouhout1861@email.ma,0639474626,39,Mohammedia,3,"Chef de projet IT","Orange Maroc",Bac+5,"Master Data",ENSI,2012,"Linux, MySQL, REST API, PHP, Azure, Tableau, Agile, Vue.js","Anglais, Français, Arabe","Courant, Natif","Expérience chez CGI pendant 3 an(s).","Projet Node.js.",AWS,Immédiate,10397
1862,Zahir,Amal,amal.zahir1862@email.ma,0656444374,55,Meknes,11,"Administrateur système","Orange Maroc",Bac+3,"Ingénieur d'état",EMI,2019,"React, Spring, Laravel, PHP, Machine Learning","Français, Arabe, Anglais","Natif, Bilingue, Courant","Expérience chez Webhelp pendant 11 an(s).","Projet JavaScript.",,"1 mois",10529
1863,Mekki,Khalid,khalid.mekki1863@email.ma,0666697134,53,Settat,14,"Ingénieur cloud","Société nationale",Bac+3,"Master Data","FST Marrakech",2013,"REST API, Python, Kubernetes, Vue.js, SQL","Anglais, Arabe, Français","Bilingue, Intermédiaire, Natif","Expérience chez Majorel pendant 14 an(s).","Projet Vue.js.",Azure,"1 mois",6941
1864,Moussaoui,Ibrahim,ibrahim.moussaoui1864@email.ma,0652935433,54,Tetouan,5,"Analyste BI","Royal Air Maroc",Bac+2,"Master Data","Université Cadi Ayyad",2024,"Git, Python, SQL, Kubernetes, React, Vue.js","Arabe, Français, Anglais","Intermédiaire, Natif","Expérience chez BMCE pendant 5 an(s).","Projet Scrum.",,"2 mois",12928
1865,Ouazzani,Younes,younes.ouazzani1865@email.ma,0639432231,22,Kenitra,12,"Data Scientist","Deloitte Maroc",Bac+2,"Licence informatique","Al Akhawayn",2021,"Kubernetes, JavaScript, Symfony, Power BI","Arabe, Anglais, Français","Intermédiaire, Natif, Bilingue","Expérience chez CGI pendant 12 an(s).",,AWS,Immédiate,11461
1866,Mekki,Imane,imane.mekki1866@email.ma,0638194151,26,Tetouan,11,"Consultant SAP","Groupe Addoha",Bac+3,"Master Data","UM5 Rabat",2022,"Agile, Power BI, Spring, Vue.js, AWS, TensorFlow, Docker, Java, Python, Angular, PHP","Français, Arabe","Bilingue, Courant","Expérience chez Attijariwafa Bank pendant 11 an(s).","Projet REST API.",AWS,"2 mois",22944
1867,Bensouda,Amal,amal.bensouda1867@email.ma,0630600211,37,Rabat,3,"Product Owner",Inwi,Bac+2,"Master Réseaux","Université Hassan II",2023,"Docker, JavaScript, React, Machine Learning","Arabe, Anglais","Bilingue, Intermédiaire","Expérience chez Royal Air Maroc pendant 3 an(s).","Projet Git.",PMP,"3 mois",9705
1868,Benkirane,Mohamed,mohamed.benkirane1868@email.ma,0628038338,52,Khemisset,11,"Chef de projet IT",Webhelp,Bac+5,"Master Réseaux",EHTP,2023,"PHP, Java, Machine Learning, Laravel, Spring, JavaScript, TensorFlow, REST API, Angular, Scrum, Linux, Git","Français, Arabe, Anglais","Natif, Intermédiaire","Expérience chez OCP pendant 11 an(s).",,,"3 mois",8192
1869,Benjelloun,Anas,anas.benjelloun1869@email.ma,0646923007,27,"El Jadida",11,"Data Scientist",REDAL,Bac+2,"Master Data",EHTP,2014,"PHP, Tableau, Laravel, Java, Power BI, Spring, Machine Learning","Arabe, Anglais","Intermédiaire, Courant, Bilingue","Expérience chez Webhelp pendant 11 an(s).","Projet Angular.",AWS,Immédiate,15205
1870,Chaoui,Bilal,bilal.chaoui1870@email.ma,0656087610,53,Sale,15,"Développeur mobile","Groupe Addoha",Bac+2,"Master SI",EHTP,2013,"REST API, JavaScript, CI/CD, Git, Tableau, Azure","Anglais, Arabe","Bilingue, Intermédiaire, Courant","Expérience chez BMCE pendant 15 an(s).","Projet Linux.",AWS,"2 mois",26732
1871,Rami,Samira,samira.rami1871@email.ma,0676806600,45,Tetouan,2,"Développeur Java","Deloitte Maroc",Bac+3,"Master MIAGE",INSEA,2024,"TensorFlow, Tableau, PostgreSQL, CI/CD, Spring, PHP, Java, Agile, SQL, Docker, React, AWS","Français, Anglais","Natif, Intermédiaire, Courant","Expérience chez Webhelp pendant 2 an(s).",,,"3 mois",16946
1872,"El Amrani",Nabil,nabil.el.amrani1872@email.ma,0627757056,54,Khouribga,12,"Testeur QA","Attijariwafa Bank",Bac+2,"Master Réseaux","FST Fes",2012,"Tableau, Kubernetes, AWS, Pandas, MySQL, Agile, Azure","Anglais, Français","Natif, Bilingue","Expérience chez Royal Air Maroc pendant 12 an(s).","Projet Agile.",,"3 mois",28298
1873,Kettani,Nour,nour.kettani1873@email.ma,0629105252,39,Kenitra,4,"Ingénieur DevOps","Royal Air Maroc",Bac+3,"Master Big Data",ENSI,2022,"Linux, Agile, JavaScript, Azure, Pandas","Arabe, Français","Courant, Intermédiaire","Expérience chez Lydec pendant 4 an(s).",,PMP,"3 mois",18749
1874,Belkadi,Omar,omar.belkadi1874@email.ma,0671332030,37,Rabat,7,"Administrateur système",Majorel,Bac+2,"Licence informatique","UM5 Rabat",2024,"REST API, PHP, Linux, Tableau, Docker, Spring, SQL, Azure, Vue.js, Java, Angular","Arabe, Français","Bilingue, Intermédiaire","Expérience chez Webhelp pendant 7 an(s).",,Scrum,"1 mois",6699
1875,Kabbaj,Mohamed,mohamed.kabbaj1875@email.ma,0623937054,23,Rabat,8,"Product Owner",REDAL,Bac+3,"Master Data",ENSI,2021,"Kubernetes, Java, Tableau, Agile, Node.js","Français, Arabe","Natif, Courant, Bilingue","Expérience chez CGI pendant 8 an(s).",,Scrum,Immédiate,11143
1876,Bennani,Younes,younes.bennani1876@email.ma,0670769138,41,Rabat,12,"Testeur QA",REDAL,Bac+5,"Master Réseaux","Al Akhawayn",2020,"Power BI, Vue.js, PostgreSQL, JavaScript, Tableau, Node.js","Anglais, Arabe","Intermédiaire, Courant","Expérience chez Royal Air Maroc pendant 12 an(s).","Projet PHP.",Scrum,"1 mois",14765
1877,Drissi,Mehdi,mehdi.drissi1877@email.ma,0646831950,26,Settat,6,"Développeur Java",Webhelp,Bac+3,"Ingénieur d'état","FST Fes",2017,"JavaScript, Tableau, Machine Learning, Linux, PostgreSQL","Arabe, Français, Anglais","Bilingue, Courant, Natif","Expérience chez Capgemini Maroc pendant 6 an(s).",,PMP,Immédiate,7035
1878,Bensouda,Nadia,nadia.bensouda1878@email.ma,0669835838,36,Berrechid,11,"Ingénieur cloud","Orange Maroc",Bac+3,"Master Big Data","UM5 Rabat",2022,"PHP, AWS, CI/CD, Angular, Tableau, PostgreSQL, Linux, Docker, Machine Learning, MySQL, Vue.js","Arabe, Français, Anglais","Natif, Bilingue","Expérience chez Groupe Addoha pendant 11 an(s).","Projet Kubernetes.",Azure,"1 mois",7087
1879,Chaoui,Mohamed,mohamed.chaoui1879@email.ma,0612745239,37,Khouribga,6,"Développeur Python","Groupe Addoha",Bac+5,"Master SI","Université Cadi Ayyad",2016,"Pandas, SQL, Angular, Kubernetes, AWS","Anglais, Arabe","Intermédiaire, Bilingue","Expérience chez Deloitte Maroc pendant 6 an(s).",,AWS,"3 mois",4900
1880,Benjelloun,Mohamed,mohamed.benjelloun1880@email.ma,0679432589,42,Inezgane,9,"Data Scientist",Webhelp,Bac+2,"Master Réseaux","Al Akhawayn",2020,"React, Symfony, Linux, Power BI, Scrum","Arabe, Français","Courant, Bilingue, Intermédiaire","Expérience chez Royal Air Maroc pendant 9 an(s).",,Azure,"3 mois",16924
1881,Bouhout,Khalid,khalid.bouhout1881@email.ma,0628748093,32,Kenitra,8,"Ingénieur cloud","Maroc Telecom",Bac+3,"Ingénieur d'état",ENSI,2020,"Docker, Laravel, Azure, Symfony","Anglais, Français, Arabe","Natif, Courant","Expérience chez Inwi pendant 8 an(s).","Projet JavaScript.",,Immédiate,4674
1882,Benkirane,Youssef,youssef.benkirane1882@email.ma,0644507987,39,Sale,11,"Développeur Full Stack","Orange Maroc",Bac+5,"Master SI","Université Hassan II",2018,"Agile, MySQL, Vue.js, CI/CD, Spring, Kubernetes, Azure, Git, Pandas, JavaScript","Anglais, Français, Arabe","Intermédiaire, Natif","Expérience chez Maroc Telecom pendant 11 an(s).",,AWS,"2 mois",24626
1883,Bennani,Anas,anas.bennani1883@email.ma,0624479241,25,"El Jadida",3,"Administrateur système","Capgemini Maroc",Bac+5,"Ingénieur d'état","FST Marrakech",2021,"Node.js, Angular, Power BI, React, Kubernetes, SQL, JavaScript, Tableau, PostgreSQL, Azure, Agile, Spring","Français, Arabe, Anglais","Courant, Natif, Intermédiaire","Expérience chez CGI pendant 3 an(s).","Projet Machine Learning.",Azure,"3 mois",21143
1884,Bennani,Laila,laila.bennani1884@email.ma,0668554073,21,Taza,15,"Administrateur système","Orange Maroc",Bac+2,"Master Data","UM5 Rabat",2017,"Linux, JavaScript, REST API, Agile, React, Azure, Java, MySQL, SQL, TensorFlow, Laravel","Anglais, Arabe","Intermédiaire, Natif, Courant","Expérience chez Capgemini Maroc pendant 15 an(s).",,AWS,Immédiate,11914
1885,Fahmi,Rania,rania.fahmi1885@email.ma,0610113183,31,Rabat,14,"Analyste BI",OCP,Bac+3,"Master Data",INSEA,2019,"Laravel, Scrum, Agile, Spring, Docker, Pandas, TensorFlow, Symfony, Kubernetes, PHP, Node.js","Anglais, Arabe","Natif, Intermédiaire, Bilingue","Expérience chez Orange Maroc pendant 14 an(s).","Projet REST API.",,"1 mois",8623
1886,Moussaoui,Meryem,meryem.moussaoui1886@email.ma,0655155133,31,Rabat,1,"Chef de projet IT","Deloitte Maroc",Bac+2,"Ingénieur d'état","FST Marrakech",2012,"PHP, AWS, Node.js, Java, Laravel, JavaScript, React, Power BI, Spring, Scrum, REST API","Français, Arabe, Anglais","Natif, Courant","Expérience chez REDAL pendant 1 an(s).",,,"3 mois",6763
1887,Kettani,Mehdi,mehdi.kettani1887@email.ma,0664813821,51,Tetouan,5,"Ingénieur réseau",Webhelp,Bac+5,"Master MIAGE","Université Hassan II",2013,"Vue.js, Java, MySQL, TensorFlow, PHP, SQL, REST API, Tableau, React, Scrum, Laravel","Français, Anglais","Intermédiaire, Natif","Expérience chez Inwi pendant 5 an(s).",,,Immédiate,25643
1888,Mekki,Tarik,tarik.mekki1888@email.ma,0679496223,52,Settat,12,"Data Engineer","Groupe Addoha",Bac+3,"Master Big Data",ENSIAS,2023,"Vue.js, Machine Learning, PHP, SQL, React","Anglais, Arabe","Natif, Courant, Bilingue","Expérience chez Lydec pendant 12 an(s).",,Scrum,"1 mois",24386
1889,Idrissi,Adil,adil.idrissi1889@email.ma,0639782694,26,Taza,9,"Administrateur système",BMCE,Bac+3,"Master SI","FST Fes",2020,"Tableau, CI/CD, Java, Azure, React, Node.js","Arabe, Anglais","Intermédiaire, Bilingue, Courant","Expérience chez Capgemini Maroc pendant 9 an(s).","Projet Vue.js.",,"2 mois",5460
1890,Moussaoui,Aicha,aicha.moussaoui1890@email.ma,0666496786,42,Berrechid,3,"Développeur Java","Capgemini Maroc",Bac+5,"Ingénieur d'état",EHTP,2018,"Git, Pandas, Scrum, Azure, SQL, TensorFlow, Machine Learning","Arabe, Français","Bilingue, Natif","Expérience chez REDAL pendant 3 an(s).",,Azure,Immédiate,14127
1891,Sbai,Salma,salma.sbai1891@email.ma,0650327775,44,Berrechid,14,"Architecte solutions","Deloitte Maroc",Bac+2,"Ingénieur d'état","Université Hassan II",2023,"PHP, Kubernetes, Vue.js","Français, Arabe, Anglais","Courant, Bilingue, Natif","Expérience chez Maroc Telecom pendant 14 an(s).","Projet Symfony.",Scrum,Immédiate,24468
1892,Bouhout,Fatima,fatima.bouhout1892@email.ma,0654821416,42,Rabat,0,,,Bac+5,"Master Réseaux",EHTP,2011,"CI/CD, Scrum, Linux, TensorFlow, Power BI, PHP, PostgreSQL, Symfony, REST API, Kubernetes, Laravel","Français, Anglais, Arabe","Courant, Natif",,,Scrum,"1 mois",23236
1893,Sefrioui,Anas,anas.sefrioui1893@email.ma,0626433974,39,Tanger,15,"Ingénieur réseau",OCP,Bac+3,"Ingénieur d'état","UM5 Rabat",2016,"Tableau, PHP, PostgreSQL, Scrum, MySQL","Anglais, Français","Natif, Intermédiaire","Expérience chez Société nationale pendant 15 an(s).",,,Immédiate,5924
1894,Benkirane,Asmae,asmae.benkirane1894@email.ma,0629722801,31,Oujda,9,"Développeur Java",OCP,Bac+3,"Master Big Data","FST Fes",2012,"PostgreSQL, Python, Kubernetes, Agile, JavaScript, Symfony, Vue.js","Français, Arabe","Bilingue, Courant","Expérience chez Lydec pendant 9 an(s).",,,"2 mois",9075
1895,Benkirane,Bilal,bilal.benkirane1895@email.ma,0631923223,32,Berrechid,15,"Ingénieur cloud",Webhelp,Bac+2,"Master Big Data","FST Fes",2011,"Vue.js, TensorFlow, SQL, Spring, Laravel, Agile, Kubernetes","Anglais, Français","Intermédiaire, Natif","Expérience chez OCP pendant 15 an(s).","Projet Docker.",Scrum,Immédiate,9653
1896,Sefrioui,Yasmina,yasmina.sefrioui1896@email.ma,0636941788,29,Tetouan,5,"Data Scientist","Maroc Telecom",Bac+5,"Master Réseaux","UM5 Rabat",2015,"React, Git, Pandas, Power BI, Spring, SQL","Français, Anglais, Arabe","Natif, Bilingue, Intermédiaire","Expérience chez REDAL pendant 5 an(s).",,,"2 mois",29072
1897,Chaoui,Imane,imane.chaoui1897@email.ma,0666163445,31,Sale,7,"Product Owner",Inwi,Bac+2,"Licence informatique","UM5 Rabat",2025,"Kubernetes, Power BI, Angular, PostgreSQL, Symfony, SQL, React, REST API, Spring","Français, Arabe, Anglais","Intermédiaire, Courant","Expérience chez CGI pendant 7 an(s).","Projet Power BI.",,"2 mois",29527
1898,Sbai,Omar,omar.sbai1898@email.ma,0635308507,38,Agadir,3,"Développeur Python",Inwi,Bac+5,"Ingénieur d'état","UM5 Rabat",2017,"JavaScript, TensorFlow, Scrum, Agile, Python, Linux, Node.js, Power BI, Tableau","Anglais, Arabe, Français","Intermédiaire, Natif","Expérience chez Groupe Addoha pendant 3 an(s).",,,"1 mois",28718
1899,Ouazzani,Mehdi,mehdi.ouazzani1899@email.ma,0673333847,23,Taza,11,"Ingénieur cloud","Royal Air Maroc",Bac+2,"Master SI",INSEA,2012,"Scrum, Tableau, Vue.js, SQL, Kubernetes, REST API, Spring, TensorFlow","Anglais, Français","Natif, Intermédiaire","Expérience chez REDAL pendant 11 an(s).","Projet Java.",,Immédiate,15424
1900,Berrada,Aicha,aicha.berrada1900@email.ma,0660881179,22,Kenitra,3,"Testeur QA",OCP,Bac+5,"Master MIAGE",INSEA,2019,"Python, Laravel, CI/CD, Vue.js, React, Machine Learning, Java, Kubernetes, Linux, JavaScript, Node.js, Agile","Français, Arabe, Anglais","Courant, Bilingue","Expérience chez Capgemini Maroc pendant 3 an(s).",,,"2 mois",9353
1901,Fahmi,Younes,younes.fahmi1901@email.ma,0672647091,43,"El Jadida",12,"Développeur Python","Deloitte Maroc",Bac+3,"Licence informatique","Université Cadi Ayyad",2020,"Docker, Symfony, Scrum","Français, Anglais, Arabe","Bilingue, Natif, Courant","Expérience chez Lydec pendant 12 an(s).",,Azure,"3 mois",24598
1902,Moussaoui,Yasmina,yasmina.moussaoui1902@email.ma,0654074281,55,"El Jadida",8,"Data Engineer","Attijariwafa Bank",Bac+5,"Master Big Data","FST Marrakech",2022,"Kubernetes, Machine Learning, SQL","Anglais, Français, Arabe","Natif, Intermédiaire, Bilingue","Expérience chez Attijariwafa Bank pendant 8 an(s).","Projet TensorFlow.",Azure,"2 mois",15667
1903,Mekki,Reda,reda.mekki1903@email.ma,0624500839,23,Nador,1,"Consultant SAP","Groupe Addoha",Bac+3,"Licence informatique","UM5 Rabat",2021,"Java, Power BI, Kubernetes, Docker, Git","Anglais, Français, Arabe","Bilingue, Natif","Expérience chez Royal Air Maroc pendant 1 an(s).","Projet TensorFlow.",,"3 mois",6676
1904,Sbai,Fatima,fatima.sbai1904@email.ma,0616836354,48,Sale,2,"Développeur PHP",Lydec,Bac+5,"Licence informatique",ENSI,2012,"Symfony, SQL, Python","Français, Arabe, Anglais","Intermédiaire, Bilingue","Expérience chez CGI pendant 2 an(s).",,,"1 mois",22682
1905,Bouhout,Laila,laila.bouhout1905@email.ma,0629986301,41,Nador,1,"Développeur Full Stack",REDAL,Bac+5,"Master Data",INSEA,2013,"MySQL, Git, Spring, Scrum, JavaScript, Pandas, Java, PHP, React, Kubernetes, Machine Learning, Tableau","Arabe, Français","Bilingue, Natif, Courant","Expérience chez Lydec pendant 1 an(s).",,,"1 mois",4690
1906,Bennani,Hassan,hassan.bennani1906@email.ma,0643061368,50,Oujda,14,"Ingénieur logiciel","Société nationale",Bac+5,"Master Réseaux",EMI,2023,"Docker, Vue.js, PHP, Agile, TensorFlow, Python, MySQL, AWS, Azure, PostgreSQL, Symfony","Arabe, Français, Anglais","Courant, Natif, Bilingue","Expérience chez Maroc Telecom pendant 14 an(s).","Projet Git.",Azure,"2 mois",14606
1907,Mekki,Nabil,nabil.mekki1907@email.ma,0635394801,54,Inezgane,15,"Data Engineer","Royal Air Maroc",Bac+3,"Master MIAGE","Al Akhawayn",2016,"PHP, Agile, Tableau, CI/CD, MySQL, JavaScript, PostgreSQL, Java, Machine Learning, Power BI, Spring, SQL","Français, Arabe","Bilingue, Intermédiaire, Courant","Expérience chez Webhelp pendant 15 an(s).",,Scrum,"3 mois",18142
1908,Bensouda,Zineb,zineb.bensouda1908@email.ma,0674532194,41,Fes,1,"Scrum Master",CGI,Bac+3,"Licence informatique","UM5 Rabat",2018,"JavaScript, Docker, Scrum, Power BI, Python, Symfony","Arabe, Anglais","Bilingue, Courant","Expérience chez Orange Maroc pendant 1 an(s).","Projet Machine Learning.",Azure,Immédiate,20985
1909,Fassi,Fatima,fatima.fassi1909@email.ma,0642973603,32,Nador,12,"Développeur .NET","Royal Air Maroc",Bac+2,"Master Big Data",ENSIAS,2025,"Tableau, Scrum, Symfony, Power BI","Arabe, Français, Anglais","Natif, Courant","Expérience chez CGI pendant 12 an(s).","Projet Tableau.",,"1 mois",20330
1910,Sefrioui,Hamza,hamza.sefrioui1910@email.ma,0619453816,30,Settat,10,"Ingénieur réseau",REDAL,Bac+5,"Ingénieur d'état",EHTP,2021,"Power BI, AWS, SQL, Laravel, Agile, Docker, Python, Java, Pandas","Arabe, Anglais, Français","Natif, Intermédiaire","Expérience chez Capgemini Maroc pendant 10 an(s).","Projet Laravel.",,"2 mois",5955
1911,"El Amrani",Rachid,rachid.el.amrani1911@email.ma,0621839809,54,Meknes,3,"Analyste BI",CGI,Bac+5,"Master Réseaux",ENSI,2015,"SQL, Agile, Pandas, Azure, Scrum, Python, CI/CD, PostgreSQL, Docker, Spring, REST API, Laravel","Français, Arabe, Anglais","Courant, Natif, Bilingue","Expérience chez Orange Maroc pendant 3 an(s).","Projet Spring.",AWS,"1 mois",16235
1912,Idrissi,Aicha,aicha.idrissi1912@email.ma,0610738040,45,Oujda,2,"Ingénieur logiciel",Webhelp,Bac+5,"Master MIAGE",EMI,2017,"Node.js, Vue.js, Tableau","Français, Anglais, Arabe","Courant, Intermédiaire","Expérience chez OCP pendant 2 an(s).",,PMP,"3 mois",21810
1913,Chraibi,Karim,karim.chraibi1913@email.ma,0651974442,46,Oujda,7,"Data Engineer","Orange Maroc",Bac+2,"Master Réseaux","UM5 Rabat",2013,"Angular, REST API, Power BI, Kubernetes, Spring, Tableau, AWS, Machine Learning","Anglais, Français, Arabe","Intermédiaire, Courant, Bilingue","Expérience chez Majorel pendant 7 an(s).",,,Immédiate,11490
1914,Kettani,Karim,karim.kettani1914@email.ma,0676303099,45,Casablanca,13,"Développeur Java",REDAL,Bac+3,"Master Réseaux","Université Cadi Ayyad",2024,"Tableau, Kubernetes, SQL, Angular, Pandas, Laravel, Azure","Arabe, Anglais","Bilingue, Intermédiaire, Natif","Expérience chez Orange Maroc pendant 13 an(s).","Projet PHP.",AWS,"1 mois",23236
1915,Lamrani,Nadia,nadia.lamrani1915@email.ma,0610891378,25,Taza,0,,,Bac+5,"Licence informatique","Université Cadi Ayyad",2012,"PostgreSQL, JavaScript, Git, Tableau, MySQL","Arabe, Français","Intermédiaire, Courant",,"Projet Java.",,"2 mois",5897
1916,Drissi,Amine,amine.drissi1916@email.ma,0671796424,43,Sale,10,"Testeur QA",Majorel,Bac+5,"Ingénieur d'état",ENSI,2025,"Spring, Agile, Azure, Machine Learning, Power BI, REST API, Laravel, SQL, Git, Kubernetes","Anglais, Français, Arabe","Courant, Intermédiaire","Expérience chez Attijariwafa Bank pendant 10 an(s).","Projet Power BI.",,"1 mois",14890
1917,Drissi,Yasmina,yasmina.drissi1917@email.ma,0655187070,43,Inezgane,2,"Responsable SI","Maroc Telecom",Bac+3,"Master SI",ENSIAS,2012,"Machine Learning, Pandas, Node.js, Linux, Docker, Git, PHP, Laravel, Symfony","Français, Arabe, Anglais","Bilingue, Courant, Natif","Expérience chez Attijariwafa Bank pendant 2 an(s).",,Azure,"3 mois",17181
1918,Berrada,Hassan,hassan.berrada1918@email.ma,0646377098,49,Kenitra,12,"Développeur Java","Société nationale",Bac+3,"Master SI",EMI,2011,"Python, React, Pandas, Laravel, REST API, Angular, Linux, Node.js","Français, Arabe, Anglais","Natif, Intermédiaire, Courant","Expérience chez Royal Air Maroc pendant 12 an(s).",,,"1 mois",23766
1919,Lamrani,Anas,anas.lamrani1919@email.ma,0662485043,38,Nador,14,"Consultant SAP","Capgemini Maroc",Bac+5,"Master SI","UM5 Rabat",2023,"Tableau, Power BI, PHP, Agile, Vue.js, Azure, Node.js","Anglais, Arabe, Français","Natif, Intermédiaire","Expérience chez Maroc Telecom pendant 14 an(s).","Projet REST API.",,Immédiate,23562
1920,Guessous,Khadija,khadija.guessous1920@email.ma,0629534826,35,Tanger,2,"Consultant SAP","Attijariwafa Bank",Bac+5,"Master Big Data",EMI,2019,"Java, Docker, CI/CD, REST API","Arabe, Français","Bilingue, Courant, Natif","Expérience chez Maroc Telecom pendant 2 an(s).",,,"3 mois",26460
1921,Benkirane,Salim,salim.benkirane1921@email.ma,0617008970,32,Tanger,4,"Développeur Full Stack","Attijariwafa Bank",Bac+5,"Master MIAGE",INSEA,2019,"AWS, JavaScript, Node.js, Laravel, MySQL, CI/CD, PostgreSQL, Git, Symfony","Anglais, Arabe","Bilingue, Natif","Expérience chez Webhelp pendant 4 an(s).",,Azure,"2 mois",12774
1922,Mekki,Mohamed,mohamed.mekki1922@email.ma,0620567830,50,Tanger,1,"Consultant SAP",Majorel,Bac+2,"Master Data",INSEA,2011,"Machine Learning, Angular, Java, Scrum, JavaScript, Laravel, Node.js, Azure, REST API, Symfony, Docker, Spring","Anglais, Arabe, Français","Natif, Intermédiaire, Bilingue","Expérience chez Inwi pendant 1 an(s).",,,Immédiate,10543
1923,Naciri,Houda,houda.naciri1923@email.ma,0615883328,48,Marrakech,10,"Développeur Full Stack",BMCE,Bac+2,"Master MIAGE",EMI,2018,"REST API, Tableau, Agile, Azure, Pandas, Kubernetes, CI/CD, Python, React, AWS, Git","Anglais, Arabe","Natif, Intermédiaire","Expérience chez Inwi pendant 10 an(s).","Projet Docker.",,Immédiate,7737
1924,Zahir,Amal,amal.zahir1924@email.ma,0649859901,31,Oujda,8,"Testeur QA","Attijariwafa Bank",Bac+2,"Ingénieur d'état",ENSI,2020,"React, Machine Learning, Scrum","Anglais, Arabe, Français","Natif, Intermédiaire","Expérience chez Groupe Addoha pendant 8 an(s).","Projet Vue.js.",,"2 mois",6941
1925,Sefrioui,Fatima,fatima.sefrioui1925@email.ma,0633024934,49,Rabat,14,"Testeur QA","Orange Maroc",Bac+5,"Master SI",INSEA,2015,"Node.js, Python, Java, AWS","Français, Anglais","Intermédiaire, Natif","Expérience chez Orange Maroc pendant 14 an(s).","Projet AWS.",PMP,"3 mois",19505
1926,Mekki,Salim,salim.mekki1926@email.ma,0617781063,29,Inezgane,8,"Scrum Master","Royal Air Maroc",Bac+5,"Master MIAGE",ENSIAS,2016,"Python, Docker, Pandas","Anglais, Français","Intermédiaire, Bilingue, Courant","Expérience chez BMCE pendant 8 an(s).","Projet PostgreSQL.",,"1 mois",10307
1927,Lamrani,Zakaria,zakaria.lamrani1927@email.ma,0634937629,30,Berrechid,7,"Ingénieur DevOps","Attijariwafa Bank",Bac+3,"Master Réseaux",EHTP,2025,"SQL, AWS, PHP, React, Spring, Java, Python","Français, Anglais, Arabe","Bilingue, Natif","Expérience chez Lydec pendant 7 an(s).",,,"1 mois",4334
1928,Bennani,Salim,salim.bennani1928@email.ma,0672325173,29,Agadir,4,"Développeur Python","Royal Air Maroc",Bac+3,"Licence informatique",INSEA,2024,"JavaScript, Node.js, Angular, REST API, Machine Learning, PHP, AWS, Vue.js, Scrum","Arabe, Anglais, Français","Natif, Intermédiaire","Expérience chez BMCE pendant 4 an(s).",,Scrum,"1 mois",5253
1929,Kabbaj,Khalid,khalid.kabbaj1929@email.ma,0631838681,45,Fes,9,"Ingénieur DevOps","Société nationale",Bac+5,"Master Data","Université Cadi Ayyad",2017,"PHP, Tableau, MySQL, Java, AWS, REST API","Français, Anglais","Natif, Courant","Expérience chez Inwi pendant 9 an(s).",,,"1 mois",13570
